Komentar,Label
Lama pengiriman. Chat lama tidak si respon,0
Kecepatan pengiriman tidak baik.,0
"Barang Belum saya Terima gak tau tuh kondisi barang saya bagaimana... Katanya 2-4 Hari Kerja dari tanggal 15 di hari ini barang belum tiba di tangan,, semoga barang yang di pesan sesuai harapan dan kelengkapan bonus lengkap sperti deskripsi yang tertera pada kolom presalenya",0
Kualitas produk tidak baik. Kecepatan pengiriman tidak baik. Respon penjual tidak baik.,0
Pengiriman Super Duperr LAMAA!!! Pas ditanya adminnya ngga balas chat Kecepatan pengiriman tidak baik. Respon penjual tidak baik.,0
Produk tidak original.,0
Tidak sesuai iklan tidak dpt tisu basah dan tisue kering buat bersihin screen.,0
Pengiriman terlalu lama kurir ambil tanggal 13 baru diterima tanggal 15,0
Jangan deh beli disini slow respon dan pengiriman lama sekali,0
"Pros - Kualitas produk bagus - Original - Murah (flash sale) Cons: - Admin no respons sama sekali, online sih tapi gak ngecek chat customer. Chat 6 hari gak diread, gak dibales. - Barang dikirim 6 hari setelah pemesanan padahal pake instant courier. - Gak ada invoice (padahal official store).",0
Barang Gak Di Kasih Nota Pembelian Chat Gak Di respon padahal notif sudah ada,0
"Kualitas produk tidak baik. Beli 2 , 2 - 2 nya ga bs digunakan karena adaptor kepala chargeran ga masuk jadi ga bs charge. . Buat yg mau beli, bs mikir2 dlu sbaiknya.Salah uda klik penerimaan barang dlu, harusnya ajukan pengembalian. Sudah coba hub penjual tapinno respon, anggep aja amal deh",0
ga bisa dipakai,0
Tidak ada serial number di bawah kepala charger dan no. Hologram 20 digit sblmnya sudah trpakai,0
"Sangat mengecewakan,,bagian kepala carger tdak jdi",0
"Barang rusak begitu sampai, dah terlanjur konfirmasi jadi pihak Shopee gak terima pengembalian. Kalo jual barang jangan yg rusak dong!",0
"Driver tidak support, proses terakhir selalu gagal. Alhasil barang belum bisa di pakai ",0
"Barang tidak sesuai gambar. hati"" kena tipu juga kek saya.",0
"Ada bagian yang retak, packing nya kurang, tapi respon yang sangat baik",0
"Produk yang saya beli ada cacat di bagian stem kunci belakang berlubang bekas baut,Kualitas produk lumayan lah dgn hrg tersebut :) Buat ke depan'y tlng di perhatikan lbh baik lg ka,terima kasih :)",0
barang sampai tepat waktu namun dalam keadaan lecet di body,0
Barang rusak Ga bisa dipake,0
Pakai langsung rusak,0
kualitas barang sangat jelek. sekali pakai lgsg rusak.,0
Produk tidak bisa di pakai,0
Cukup sekali brlanja di toko ini,0
Barangnya baru dibuka hari ini ternyata barangnya sama sekali ga bisa dipake ...ga nyala BLENDERNYA ... BRENGSEK SELLERNYA,0
